scores,scores_avg
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.10000000149011612,0.016666666915019352
0.0,0.014285714498588018
0.0,0.012500000186264515
0.0,0.011111111276679568
0.10000000149011612,0.020000000298023225
0.0,0.018181818452748386
0.0,0.016666666915019352
0.0,0.015384615613864018
0.10000000149011612,0.021428571747882024
0.0,0.020000000298023225
0.0,0.018750000279396772
0.0,0.01764705908649108
0.0,0.016666666915019352
0.10000000149011612,0.021052631892656024
0.0,0.020000000298023225
0.0,0.019047619331450688
0.0,0.018181818452748386
0.0,0.017391304606976715
0.0,0.016666666915019352
0.0,0.01600000023841858
0.0,0.015384615613864018
0.0,0.014814815035572759
0.10000000149011612,0.017857143123235022
0.0,0.0172413795672614
0.0,0.016666666915019352
0.0,0.016129032498405825
0.0,0.015625000232830644
0.0,0.015151515377290321
0.0,0.0147058825720759
0.0,0.014285714498588018
0.0,0.013888889095849462
0.10000000149011612,0.016216216457856668
0.0,0.01578947391949202
0.0,0.015384615613864018
0.0,0.015000000223517418
0.0,0.014634146559529188
0.10000000149011612,0.016666666915019352
0.0,0.016279070010018902
0.0,0.01590909114615484
0.0,0.015555555787351396
0.0,0.015217391531104628
0.0,0.014893617243208784
0.0,0.014583333550641933
0.0,0.014285714498588018
0.0,0.014000000208616257
0.0,0.013725490400604173
0.0,0.013461538662131015
0.0,0.01320754736661911
0.0,0.012962963156126163
0.0,0.01272727291692387
0.0,0.012500000186264515
0.0,0.012280701937382682
0.0,0.012068965697082979
0.0,0.011864406956454455
0.0,0.011666666840513547
0.0,0.011475410007062505
0.0,0.011290322748884078
0.0,0.011111111276679568
0.0,0.01093750016298145
0.0,0.010769230929704813
0.0,0.010606060764103226
0.0,0.010447761349713624
0.0,0.01029411780045313
0.0,0.010144927687403084
0.0,0.010000000149011612
0.0,0.009859155076490322
0.0,0.009722222367094623
0.0,0.009589041238778259
0.0,0.00945945960041639
0.0,0.009333333472410837
0.0,0.00921052645303701
0.0,0.009090909226374193
0.10000000149011612,0.010256410409242678
0.0,0.010126582429378847
0.0,0.010000000149011612
0.0,0.009876543357048505
0.0,0.009756097706352792
0.0,0.00963855436049312
0.0,0.009523809665725344
0.10000000149011612,0.010588235451894648
0.0,0.010465116435012151
0.0,0.01034482774035684
0.0,0.010227272879670967
0.0,0.010112359701247697
0.0,0.010000000149011612
0.0,0.009890110037484011
